nTask=15;
nAgent=10;
nSubtask=155;
Tasks = {
<1,1,5,3>
<1,2,12,6>
<1,3,2,3>
<1,4,8,0>
<2,1,4,4>
<2,2,13,9>
<2,3,9,1>
<2,4,2,3>
<2,5,5,7>
<2,6,3,1>
<2,7,4,7>
<2,8,8,8>
<2,9,14,0>
<3,1,12,1>
<3,2,11,3>
<3,3,15,4>
<3,4,14,4>
<3,5,2,6>
<3,6,15,10>
<3,7,1,3>
<3,8,6,4>
<3,9,10,10>
<3,10,11,1>
<3,11,12,9>
<3,12,15,0>
<4,1,7,3>
<4,2,14,5>
<4,3,11,10>
<4,4,13,2>
<4,5,14,8>
<4,6,9,9>
<4,7,12,9>
<4,8,4,4>
<4,9,6,6>
<4,10,5,6>
<4,11,7,6>
<4,12,9,4>
<4,13,10,4>
<4,14,14,3>
<4,15,10,0>
<5,1,11,6>
<5,2,6,9>
<5,3,2,1>
<5,4,13,2>
<5,5,13,1>
<5,6,7,4>
<5,7,2,5>
<5,8,12,9>
<5,9,7,9>
<5,10,15,7>
<5,11,6,10>
<5,12,6,2>
<5,13,6,9>
<5,14,3,0>
<6,1,3,9>
<6,2,7,0>
<7,1,6,6>
<7,2,9,9>
<7,3,3,7>
<7,4,4,8>
<7,5,4,10>
<7,6,8,8>
<7,7,14,4>
<7,8,11,9>
<7,9,5,6>
<7,10,2,5>
<7,11,2,5>
<7,12,8,3>
<7,13,8,0>
<8,1,11,10>
<8,2,3,2>
<8,3,4,10>
<8,4,10,3>
<8,5,4,8>
<8,6,1,3>
<8,7,1,4>
<8,8,4,1>
<8,9,12,5>
<8,10,3,5>
<8,11,8,0>
<9,1,2,1>
<9,2,14,6>
<9,3,8,5>
<9,4,5,6>
<9,5,12,3>
<9,6,12,6>
<9,7,4,0>
<10,1,4,10>
<10,2,14,9>
<10,3,2,5>
<10,4,12,8>
<10,5,8,5>
<10,6,12,5>
<10,7,3,7>
<10,8,2,1>
<10,9,7,7>
<10,10,10,1>
<10,11,8,3>
<10,12,13,10>
<10,13,1,2>
<10,14,2,4>
<10,15,10,8>
<10,16,5,0>
<11,1,2,4>
<11,2,2,9>
<11,3,11,2>
<11,4,13,9>
<11,5,4,6>
<11,6,15,5>
<11,7,1,7>
<11,8,2,1>
<11,9,11,9>
<11,10,10,6>
<11,11,10,5>
<11,12,11,0>
<12,1,6,0>
<13,1,1,3>
<13,2,6,6>
<13,3,10,6>
<13,4,15,1>
<13,5,5,9>
<13,6,5,7>
<13,7,4,5>
<13,8,12,9>
<13,9,4,9>
<13,10,13,10>
<13,11,6,10>
<13,12,7,10>
<13,13,6,7>
<13,14,11,10>
<13,15,8,9>
<13,16,6,1>
<13,17,12,0>
<14,1,3,9>
<14,2,11,8>
<14,3,3,3>
<14,4,1,1>
<14,5,12,9>
<14,6,7,3>
<14,7,5,9>
<14,8,4,1>
<14,9,12,7>
<14,10,2,9>
<14,11,3,7>
<14,12,6,0>
<15,1,5,2>
<15,2,6,5>
<15,3,2,4>
<15,4,3,3>
<15,5,5,7>
<15,6,4,4>
<15,7,11,7>
<15,8,3,10>
<15,9,8,10>
<15,10,4,0>
};
Waits = {
<1,1,3,12,8>
<2,1,14,3,1>
<3,1,2,4,1>
<4,1,2,8,1>
<5,1,8,2,9>
<6,1,3,8,2>
<7,1,14,7,10>
<8,2,2,7,7>
<9,1,6,2,9>
<10,1,7,12,9>
<11,1,13,12,1>
<12,1,4,14,4>
<13,2,4,9,2>
<14,1,3,2,8>
<15,1,13,10,6>
};
Deadlines = {
<2,8,3,3,367>
<3,2,2,2,400>
<3,4,10,5,371>
<3,12,2,2,319>
<4,1,13,2,395>
<4,2,11,6,385>
<4,8,15,1,332>
<4,9,10,12,383>
<4,10,15,5,379>
<5,1,8,8,359>
<5,10,13,14,324>
<7,4,8,4,410>
<7,13,3,9,338>
<9,5,4,11,328>
<10,2,13,7,410>
<10,3,15,8,327>
<10,7,5,3,336>
<10,9,7,1,383>
<10,14,4,11,413>
<10,15,3,1,387>
<11,4,15,5,403>
<11,9,15,4,356>
<13,1,1,1,397>
<13,3,1,4,324>
<13,5,4,13,353>
<13,6,15,5,385>
<13,7,14,7,318>
<13,12,5,10,355>
<13,13,2,8,314>
<14,11,10,15,353>
<15,3,13,5,401>
<15,7,3,3,375>
<15,8,14,5,405>
<15,10,14,4,392>
};
Modes = {
<1,1,6,5>
<1,2,3,9>
<1,2,5,10>
<1,3,7,1>
<1,4,1,10>
<1,4,3,4>
<1,4,9,7>
<2,1,4,7>
<2,1,5,9>
<2,1,6,5>
<2,2,2,8>
<2,2,6,3>
<2,2,7,9>
<2,3,4,1>
<2,4,1,1>
<2,4,4,5>
<2,4,6,7>
<2,4,7,3>
<2,4,9,10>
<2,5,1,5>
<2,5,8,1>
<2,5,10,3>
<2,6,7,7>
<2,6,10,9>
<2,7,7,9>
<2,7,9,1>
<2,7,10,9>
<2,8,3,4>
<2,8,9,5>
<2,8,10,6>
<2,9,3,3>
<2,9,4,9>
<3,1,1,8>
<3,1,5,6>
<3,1,10,3>
<3,2,2,6>
<3,2,5,7>
<3,2,8,7>
<3,2,10,6>
<3,3,4,5>
<3,3,5,5>
<3,4,1,10>
<3,4,10,1>
<3,5,4,6>
<3,5,9,5>
<3,5,10,1>
<3,6,7,6>
<3,7,8,1>
<3,8,8,1>
<3,9,1,8>
<3,9,9,2>
<3,10,3,9>
<3,10,7,8>
<3,11,2,1>
<3,11,3,3>
<3,11,9,4>
<3,12,1,3>
<3,12,8,6>
<4,1,6,1>
<4,1,10,4>
<4,2,4,1>
<4,2,5,6>
<4,3,2,10>
<4,3,5,5>
<4,3,9,6>
<4,3,10,4>
<4,4,5,6>
<4,4,6,9>
<4,5,2,9>
<4,5,8,5>
<4,6,3,6>
<4,6,7,5>
<4,7,5,9>
<4,7,6,5>
<4,7,10,1>
<4,8,2,5>
<4,9,2,1>
<4,9,6,3>
<4,9,8,9>
<4,9,10,8>
<4,10,4,1>
<4,10,5,1>
<4,10,6,9>
<4,11,1,9>
<4,11,6,6>
<4,11,9,3>
<4,12,5,3>
<4,12,9,1>
<4,13,1,4>
<4,13,5,9>
<4,13,6,9>
<4,13,7,5>
<4,13,8,9>
<4,13,9,5>
<4,14,2,3>
<4,14,3,4>
<4,14,7,4>
<4,15,5,6>
<4,15,6,10>
<4,15,10,9>
<5,1,2,1>
<5,1,6,2>
<5,1,9,1>
<5,2,1,6>
<5,2,4,1>
<5,2,6,8>
<5,3,2,2>
<5,4,8,2>
<5,5,3,5>
<5,5,5,8>
<5,6,2,4>
<5,6,6,8>
<5,6,7,9>
<5,7,1,6>
<5,7,9,8>
<5,7,10,4>
<5,8,7,3>
<5,8,8,5>
<5,9,3,7>
<5,9,4,8>
<5,9,5,7>
<5,9,7,7>
<5,9,8,3>
<5,9,9,1>
<5,10,2,4>
<5,10,7,9>
<5,10,9,7>
<5,11,8,10>
<5,11,9,7>
<5,12,3,9>
<5,13,6,9>
<5,13,10,9>
<5,14,5,4>
<5,14,7,9>
<5,14,10,1>
<6,1,4,2>
<6,1,8,7>
<6,2,1,5>
<6,2,2,9>
<6,2,3,2>
<6,2,9,8>
<7,1,1,8>
<7,1,2,8>
<7,1,3,2>
<7,1,4,4>
<7,1,6,1>
<7,1,9,6>
<7,2,3,1>
<7,2,4,2>
<7,2,7,8>
<7,3,2,1>
<7,4,1,3>
<7,4,4,10>
<7,4,7,7>
<7,4,8,3>
<7,4,10,6>
<7,5,5,6>
<7,6,2,8>
<7,7,1,2>
<7,8,1,10>
<7,8,3,7>
<7,8,4,6>
<7,8,7,7>
<7,8,8,10>
<7,9,4,8>
<7,10,2,6>
<7,10,3,1>
<7,10,10,4>
<7,11,2,1>
<7,11,8,1>
<7,12,1,9>
<7,12,7,5>
<7,13,5,3>
<7,13,8,10>
<8,1,3,6>
<8,2,1,7>
<8,2,3,10>
<8,2,4,5>
<8,3,6,5>
<8,4,3,10>
<8,4,7,7>
<8,5,7,2>
<8,6,6,6>
<8,7,1,2>
<8,7,5,9>
<8,7,10,10>
<8,8,6,4>
<8,8,7,8>
<8,9,1,10>
<8,9,4,3>
<8,9,5,8>
<8,9,9,2>
<8,10,2,5>
<8,10,4,3>
<8,10,8,2>
<8,10,9,10>
<8,11,7,4>
<8,11,8,9>
<9,1,4,1>
<9,1,10,6>
<9,2,1,4>
<9,2,8,2>
<9,3,1,4>
<9,3,2,3>
<9,4,1,9>
<9,4,7,7>
<9,4,10,8>
<9,5,3,10>
<9,5,6,2>
<9,5,7,7>
<9,5,8,8>
<9,6,1,5>
<9,6,6,1>
<9,7,2,9>
<10,1,1,9>
<10,1,3,9>
<10,1,6,7>
<10,1,10,1>
<10,2,3,3>
<10,2,6,2>
<10,2,10,10>
<10,3,2,8>
<10,3,4,2>
<10,3,6,9>
<10,3,7,7>
<10,3,8,2>
<10,3,9,2>
<10,4,4,6>
<10,5,4,9>
<10,6,3,9>
<10,6,10,7>
<10,7,4,4>
<10,7,5,9>
<10,7,6,10>
<10,8,5,1>
<10,8,7,10>
<10,9,4,1>
<10,9,9,4>
<10,9,10,6>
<10,10,2,1>
<10,10,8,7>
<10,10,10,7>
<10,11,4,1>
<10,11,6,3>
<10,11,8,3>
<10,12,1,10>
<10,12,7,5>
<10,12,8,6>
<10,13,9,10>
<10,14,1,7>
<10,14,4,8>
<10,15,2,1>
<10,15,4,3>
<10,15,9,8>
<10,16,1,10>
<11,1,8,1>
<11,2,4,8>
<11,2,8,9>
<11,3,1,1>
<11,3,2,9>
<11,3,4,9>
<11,3,10,8>
<11,4,1,10>
<11,4,2,7>
<11,4,4,6>
<11,5,4,7>
<11,5,6,5>
<11,6,1,7>
<11,6,4,10>
<11,6,5,9>
<11,6,9,3>
<11,7,2,3>
<11,7,7,10>
<11,7,10,4>
<11,8,3,3>
<11,8,7,5>
<11,9,6,1>
<11,9,7,8>
<11,9,8,6>
<11,10,1,3>
<11,10,2,8>
<11,11,1,4>
<11,11,2,5>
<11,11,6,4>
<11,11,9,3>
<11,11,10,6>
<11,12,7,3>
<11,12,9,6>
<12,1,5,3>
<13,1,1,5>
<13,1,7,2>
<13,1,8,10>
<13,1,10,6>
<13,2,1,7>
<13,2,2,3>
<13,2,7,8>
<13,3,1,8>
<13,4,1,3>
<13,4,4,4>
<13,4,8,9>
<13,4,9,5>
<13,5,10,3>
<13,6,1,5>
<13,6,9,1>
<13,7,1,8>
<13,7,2,7>
<13,7,3,9>
<13,7,9,8>
<13,8,1,10>
<13,8,4,10>
<13,9,6,9>
<13,10,1,2>
<13,10,4,1>
<13,10,7,2>
<13,10,9,10>
<13,11,1,4>
<13,11,7,10>
<13,11,8,1>
<13,12,3,9>
<13,12,4,3>
<13,12,6,1>
<13,12,8,5>
<13,12,10,7>
<13,13,4,6>
<13,14,4,1>
<13,14,6,7>
<13,14,10,5>
<13,15,1,10>
<13,15,4,3>
<13,15,8,2>
<13,15,10,6>
<13,16,1,2>
<13,16,3,7>
<13,16,7,1>
<13,17,8,1>
<14,1,6,4>
<14,1,8,6>
<14,2,1,9>
<14,2,2,1>
<14,2,4,1>
<14,2,7,3>
<14,3,6,6>
<14,4,1,8>
<14,4,4,2>
<14,4,5,7>
<14,4,7,4>
<14,4,9,10>
<14,5,1,3>
<14,5,2,5>
<14,5,3,5>
<14,5,6,9>
<14,6,3,5>
<14,7,2,3>
<14,7,6,5>
<14,7,10,5>
<14,8,1,10>
<14,8,10,9>
<14,9,4,3>
<14,9,7,9>
<14,10,7,10>
<14,10,9,1>
<14,10,10,2>
<14,11,6,6>
<14,11,9,1>
<14,11,10,5>
<14,12,2,4>
<14,12,4,5>
<14,12,8,7>
<15,1,1,9>
<15,1,5,2>
<15,1,8,3>
<15,1,9,8>
<15,2,3,6>
<15,2,7,9>
<15,3,1,4>
<15,3,5,2>
<15,3,10,5>
<15,4,10,2>
<15,5,4,6>
<15,5,5,7>
<15,5,10,8>
<15,6,4,3>
<15,6,10,9>
<15,7,5,7>
<15,7,6,3>
<15,7,9,6>
<15,8,5,5>
<15,8,7,3>
<15,9,1,10>
<15,9,2,10>
<15,9,4,10>
<15,9,7,10>
<15,10,2,9>
<15,10,5,1>
};
